q,age_group,sex,cigsmok,N,wtN
Q1-2017,18,male,0,77,82.104609
Q1-2017,18,male,1,10,12.559423
Q1-2017,18,female,0,58,69.375689
Q1-2017,18,female,1,10,12.528766
Q1-2017,20,male,0,170,171.865683
Q1-2017,20,male,1,60,63.117858
Q1-2017,20,female,0,160,181.207129
Q1-2017,20,female,1,43,47.621251
Q1-2017,25,male,0,115,155.944817
Q1-2017,25,male,1,47,68.424948
Q1-2017,25,female,0,146,163.12948
Q1-2017,25,female,1,46,51.205872
Q1-2017,30,male,0,119,170.89985
Q1-2017,30,male,1,25,39.236175
Q1-2017,30,female,0,149,158.752623
Q1-2017,30,female,1,43,45.562641
Q1-2017,35,male,0,130,157.556533
Q1-2017,35,male,1,27,30.969678
Q1-2017,35,female,0,174,191.547401
Q1-2017,35,female,1,27,28.688821
Q1-2017,40,male,0,138,175.235837
Q1-2017,40,male,1,46,55.185124
Q1-2017,40,female,0,143,165.659614
Q1-2017,40,female,1,38,41.399545
Q1-2017,45,male,0,154,178.416298
Q1-2017,45,male,1,28,32.615747
Q1-2017,45,female,0,165,172.62387
Q1-2017,45,female,1,38,40.103518
Q1-2017,50,male,0,157,184.299654
Q1-2017,50,male,1,43,45.115415
Q1-2017,50,female,0,171,192.236242
Q1-2017,50,female,1,38,35.108337
Q1-2017,55,male,0,176,139.723012
Q1-2017,55,male,1,29,19.693661
Q1-2017,55,female,0,167,159.952164
Q1-2017,55,female,1,27,24.486694
Q1-2017,60,male,0,193,163.475695
Q1-2017,60,male,1,27,21.117203
Q1-2017,60,female,0,158,149.732761
Q1-2017,60,female,1,31,30.594271
Q1-2017,65,male,0,688,434.857021
Q1-2017,65,male,1,62,35.592727
Q1-2017,65,female,0,592,541.991562
Q1-2017,65,female,1,51,43.966653
Q2-2017,18,male,0,69,65.680833
Q2-2017,18,male,1,15,16.968015
Q2-2017,18,female,0,53,55.563969
Q2-2017,18,female,1,12,12.687893
Q2-2017,20,male,0,176,171.098702
Q2-2017,20,male,1,74,71.540411
Q2-2017,20,female,0,194,181.25954
Q2-2017,20,female,1,57,57.622236
Q2-2017,25,male,0,118,150.697431
Q2-2017,25,male,1,46,59.63967
Q2-2017,25,female,0,125,142.363669
Q2-2017,25,female,1,40,46.689916
Q2-2017,30,male,0,124,171.61716
Q2-2017,30,male,1,41,56.062929
Q2-2017,30,female,0,153,179.488464
Q2-2017,30,female,1,44,50.877587
Q2-2017,35,male,0,132,168.616622
Q2-2017,35,male,1,31,40.824507
Q2-2017,35,female,0,169,175.333592
Q2-2017,35,female,1,32,32.445386
Q2-2017,40,male,0,125,171.832107
Q2-2017,40,male,1,33,42.479572
Q2-2017,40,female,0,168,182.633328
Q2-2017,40,female,1,35,40.795245
Q2-2017,45,male,0,140,160.881282
Q2-2017,45,male,1,40,40.346021
Q2-2017,45,female,0,134,166.10061
Q2-2017,45,female,1,35,41.607426
Q2-2017,50,male,0,168,185.799341
Q2-2017,50,male,1,51,55.688316
Q2-2017,50,female,0,157,195.888569
Q2-2017,50,female,1,34,41.649114
Q2-2017,55,male,0,171,149.016365
Q2-2017,55,male,1,23,18.189317
Q2-2017,55,female,0,159,146.273557
Q2-2017,55,female,1,29,27.702562
Q2-2017,60,male,0,178,153.136182
Q2-2017,60,male,1,38,29.88788
Q2-2017,60,female,0,154,148.934918
Q2-2017,60,female,1,41,39.925359
Q2-2017,65,male,0,635,433.174504
Q2-2017,65,male,1,61,40.104056
Q2-2017,65,female,0,627,534.153786
Q2-2017,65,female,1,69,57.463449
Q3-2017,18,male,0,104,83.565273
Q3-2017,18,male,1,20,16.707667
Q3-2017,18,female,0,47,52.825485
Q3-2017,18,female,1,18,21.90969
Q3-2017,20,male,0,189,179.897538
Q3-2017,20,male,1,62,61.301743
Q3-2017,20,female,0,143,175.313332
Q3-2017,20,female,1,42,49.182598
Q3-2017,25,male,0,118,165.031612
Q3-2017,25,male,1,38,62.610646
Q3-2017,25,female,0,157,156.315529
Q3-2017,25,female,1,39,40.521854
Q3-2017,30,male,0,113,158.664158
Q3-2017,30,male,1,28,38.866594
Q3-2017,30,female,0,186,188.172942
Q3-2017,30,female,1,39,40.772934
Q3-2017,35,male,0,122,149.03307
Q3-2017,35,male,1,40,44.672021
Q3-2017,35,female,0,186,186.806001
Q3-2017,35,female,1,38,36.980479
Q3-2017,40,male,0,130,159.213742
Q3-2017,40,male,1,32,40.200861
Q3-2017,40,female,0,150,145.050915
Q3-2017,40,female,1,30,32.185766
Q3-2017,45,male,0,124,159.585691
Q3-2017,45,male,1,26,33.489376
Q3-2017,45,female,0,175,179.839144
Q3-2017,45,female,1,40,42.434746
Q3-2017,50,male,0,143,178.005296
Q3-2017,50,male,1,36,49.023815
Q3-2017,50,female,0,176,178.256337
Q3-2017,50,female,1,43,43.640169
Q3-2017,55,male,0,160,151.832005
Q3-2017,55,male,1,26,26.424003
Q3-2017,55,female,0,176,156.129107
Q3-2017,55,female,1,30,25.946863
Q3-2017,60,male,0,157,135.339009
Q3-2017,60,male,1,32,30.76193
Q3-2017,60,female,0,176,148.241902
Q3-2017,60,female,1,22,19.555682
Q3-2017,65,male,0,613,475.583565
Q3-2017,65,male,1,49,36.338957
Q3-2017,65,female,0,610,548.326133
Q3-2017,65,female,1,53,49.183125
Q4-2017,18,male,0,69,58.676835
Q4-2017,18,male,1,22,19.515467
Q4-2017,18,female,0,82,79.30178
Q4-2017,18,female,1,13,12.021121
Q4-2017,20,male,0,210,181.605646
Q4-2017,20,male,1,69,70.968381
Q4-2017,20,female,0,166,168.193844
Q4-2017,20,female,1,59,60.954819
Q4-2017,25,male,0,130,170.459052
Q4-2017,25,male,1,40,55.373189
Q4-2017,25,female,0,132,140.996963
Q4-2017,25,female,1,57,60.149558
Q4-2017,30,male,0,106,147.102839
Q4-2017,30,male,1,36,48.947878
Q4-2017,30,female,0,174,191.513497
Q4-2017,30,female,1,37,35.005462
Q4-2017,35,male,0,94,136.48148
Q4-2017,35,male,1,27,40.636326
Q4-2017,35,female,0,169,187.594418
Q4-2017,35,female,1,30,30.324971
Q4-2017,40,male,0,121,170.18803
Q4-2017,40,male,1,29,40.727018
Q4-2017,40,female,0,142,150.040156
Q4-2017,40,female,1,28,29.933495
Q4-2017,45,male,0,143,176.559676
Q4-2017,45,male,1,34,36.579663
Q4-2017,45,female,0,124,161.887095
Q4-2017,45,female,1,32,40.604548
Q4-2017,50,male,0,157,171.185931
Q4-2017,50,male,1,30,37.925809
Q4-2017,50,female,0,162,202.680553
Q4-2017,50,female,1,29,33.82997
Q4-2017,55,male,0,159,144.388374
Q4-2017,55,male,1,31,30.787166
Q4-2017,55,female,0,172,150.925261
Q4-2017,55,female,1,26,22.113814
Q4-2017,60,male,0,161,138.761366
Q4-2017,60,male,1,39,30.592788
Q4-2017,60,female,0,172,146.877867
Q4-2017,60,female,1,38,32.510136
Q4-2017,65,male,0,674,460.261994
Q4-2017,65,male,1,70,50.919904
Q4-2017,65,female,0,599,544.941397
Q4-2017,65,female,1,50,44.199991
Q1-2018,18,male,0,63,60.290217
Q1-2018,18,male,1,12,12.365855
Q1-2018,18,female,0,45,54.04289
Q1-2018,18,female,1,15,15.768549
Q1-2018,20,male,0,205,200.074107
Q1-2018,20,male,1,69,73.223245
Q1-2018,20,female,0,164,196.603262
Q1-2018,20,female,1,46,55.506473
Q1-2018,25,male,0,107,152.74076
Q1-2018,25,male,1,40,57.04441
Q1-2018,25,female,0,135,158.213741
Q1-2018,25,female,1,41,49.563026
Q1-2018,30,male,0,116,173.02036
Q1-2018,30,male,1,36,48.55496
Q1-2018,30,female,0,155,184.595415
Q1-2018,30,female,1,40,44.42988
Q1-2018,35,male,0,132,164.381728
Q1-2018,35,male,1,47,55.796959
Q1-2018,35,female,0,157,172.367587
Q1-2018,35,female,1,39,41.805502
Q1-2018,40,male,0,115,150.758508
Q1-2018,40,male,1,25,30.296789
Q1-2018,40,female,0,160,170.82253
Q1-2018,40,female,1,26,26.240235
Q1-2018,45,male,0,143,171.449977
Q1-2018,45,male,1,30,33.537412
Q1-2018,45,female,0,169,180.828103
Q1-2018,45,female,1,40,43.193815
Q1-2018,50,male,0,152,179.741613
Q1-2018,50,male,1,42,44.942909
Q1-2018,50,female,0,183,194.54685
Q1-2018,50,female,1,36,34.505349
Q1-2018,55,male,0,189,149.346375
Q1-2018,55,male,1,45,37.155607
Q1-2018,55,female,0,180,166.630668
Q1-2018,55,female,1,25,21.223474
Q1-2018,60,male,0,182,131.764604
Q1-2018,60,male,1,45,34.402447
Q1-2018,60,female,0,172,150.706506
Q1-2018,60,female,1,20,15.194903
Q1-2018,65,male,0,683,480.591892
Q1-2018,65,male,1,60,43.25368
Q1-2018,65,female,0,614,547.906014
Q1-2018,65,female,1,61,57.14078
Q2-2018,18,male,0,78,64.135013
Q2-2018,18,male,1,13,9.626814
Q2-2018,18,female,0,60,62.217358
Q2-2018,18,female,1,11,13.171113
Q2-2018,20,male,0,215,193.796257
Q2-2018,20,male,1,76,73.802775
Q2-2018,20,female,0,186,192.958776
Q2-2018,20,female,1,49,51.352028
Q2-2018,25,male,0,102,149.31671
Q2-2018,25,male,1,40,60.935396
Q2-2018,25,female,0,131,149.994925
Q2-2018,25,female,1,47,52.190385
Q2-2018,30,male,0,106,167.978001
Q2-2018,30,male,1,40,58.271599
Q2-2018,30,female,0,161,185.174007
Q2-2018,30,female,1,55,52.621422
Q2-2018,35,male,0,137,170.033247
Q2-2018,35,male,1,40,52.406608
Q2-2018,35,female,0,142,159.497835
Q2-2018,35,female,1,43,44.563693
Q2-2018,40,male,0,110,140.300375
Q2-2018,40,male,1,33,40.28593
Q2-2018,40,female,0,153,172.996408
Q2-2018,40,female,1,33,33.448236
Q2-2018,45,male,0,134,149.643634
Q2-2018,45,male,1,45,42.915042
Q2-2018,45,female,0,161,183.220996
Q2-2018,45,female,1,32,31.186304
Q2-2018,50,male,0,181,202.081727
Q2-2018,50,male,1,41,41.03686
Q2-2018,50,female,0,168,185.774509
Q2-2018,50,female,1,49,48.783956
Q2-2018,55,male,0,156,149.38879
Q2-2018,55,male,1,40,34.180397
Q2-2018,55,female,0,154,145.558835
Q2-2018,55,female,1,32,28.193402
Q2-2018,60,male,0,179,146.343408
Q2-2018,60,male,1,33,26.548875
Q2-2018,60,female,0,188,168.237491
Q2-2018,60,female,1,26,23.340615
Q2-2018,65,male,0,660,481.553184999999
Q2-2018,65,male,1,66,46.83801
Q2-2018,65,female,0,624,567.268483
Q2-2018,65,female,1,61,51.722542
Q3-2018,18,male,0,92,82.469826
Q3-2018,18,male,1,20,17.896728
Q3-2018,18,female,0,74,86.468477
Q3-2018,18,female,1,8,9.624052
Q3-2018,20,male,0,179,181.956977
Q3-2018,20,male,1,56,60.982775
Q3-2018,20,female,0,128,156.32595
Q3-2018,20,female,1,49,58.61425
Q3-2018,25,male,0,133,159.359302
Q3-2018,25,male,1,53,67.616679
Q3-2018,25,female,0,153,155.680686
Q3-2018,25,female,1,44,43.526879
Q3-2018,30,male,0,127,150.192457
Q3-2018,30,male,1,44,54.305777
Q3-2018,30,female,0,189,182.525589
Q3-2018,30,female,1,48,48.174547
Q3-2018,35,male,0,112,160.415819
Q3-2018,35,male,1,39,52.527347
Q3-2018,35,female,0,193,184.3859
Q3-2018,35,female,1,32,34.346681
Q3-2018,40,male,0,98,134.732011
Q3-2018,40,male,1,33,44.995861
Q3-2018,40,female,0,158,149.285103
Q3-2018,40,female,1,31,30.206653
Q3-2018,45,male,0,123,151.460677
Q3-2018,45,male,1,35,41.436656
Q3-2018,45,female,0,160,179.776375
Q3-2018,45,female,1,39,42.74663
Q3-2018,50,male,0,158,185.82137
Q3-2018,50,male,1,46,52.965017
Q3-2018,50,female,0,173,187.318247
Q3-2018,50,female,1,31,33.095158
Q3-2018,55,male,0,158,150.131514
Q3-2018,55,male,1,27,26.398535
Q3-2018,55,female,0,159,151.218586
Q3-2018,55,female,1,34,34.155785
Q3-2018,60,male,0,177,151.600522
Q3-2018,60,male,1,23,21.605044
Q3-2018,60,female,0,163,152.671972
Q3-2018,60,female,1,25,23.009147
Q3-2018,65,male,0,679,468.521374000001
Q3-2018,65,male,1,69,49.295546
Q3-2018,65,female,0,591,553.780691
Q3-2018,65,female,1,55,51.418327
Q4-2018,18,male,0,82,69.241582
Q4-2018,18,male,1,12,10.770061
Q4-2018,18,female,0,64,58.133172
Q4-2018,18,female,1,19,18.753705
Q4-2018,20,male,0,228,200.017281
Q4-2018,20,male,1,62,56.881407
Q4-2018,20,female,0,215,205.345244
Q4-2018,20,female,1,50,46.803891
Q4-2018,25,male,0,115,152.863409
Q4-2018,25,male,1,57,79.45469
Q4-2018,25,female,0,148,160.886468
Q4-2018,25,female,1,41,39.596466
Q4-2018,30,male,0,114,149.490523
Q4-2018,30,male,1,41,52.922428
Q4-2018,30,female,0,182,194.485977
Q4-2018,30,female,1,40,38.483107
Q4-2018,35,male,0,120,147.09898
Q4-2018,35,male,1,29,33.586194
Q4-2018,35,female,0,171,181.064715
Q4-2018,35,female,1,42,39.812703
Q4-2018,40,male,0,138,170.822651
Q4-2018,40,male,1,40,45.177638
Q4-2018,40,female,0,132,150.359775
Q4-2018,40,female,1,32,32.386405
Q4-2018,45,male,0,132,173.346162
Q4-2018,45,male,1,34,39.346605
Q4-2018,45,female,0,140,175.731399
Q4-2018,45,female,1,35,37.964678
Q4-2018,50,male,0,141,184.822936
Q4-2018,50,male,1,30,35.814389
Q4-2018,50,female,0,162,200.969222
Q4-2018,50,female,1,29,35.324465
Q4-2018,55,male,0,156,137.098372
Q4-2018,55,male,1,36,25.570912
Q4-2018,55,female,0,162,159.286072
Q4-2018,55,female,1,24,21.316469
Q4-2018,60,male,0,202,169.157607
Q4-2018,60,male,1,31,25.01262
Q4-2018,60,female,0,175,162.687102
Q4-2018,60,female,1,30,26.983241
Q4-2018,65,male,0,695,485.550619
Q4-2018,65,male,1,57,38.162932
Q4-2018,65,female,0,566,556.742393999999
Q4-2018,65,female,1,56,54.359127
Q1-2019,18,male,0,74,58.355217
Q1-2019,18,male,1,11,8.419428
Q1-2019,18,female,0,63,58.344988
Q1-2019,18,female,1,17,12.985952
Q1-2019,20,male,0,261,221.096217
Q1-2019,20,male,1,51,41.590103
Q1-2019,20,female,0,231,206.570841
Q1-2019,20,female,1,38,30.433091
Q1-2019,25,male,0,125,154.520774
Q1-2019,25,male,1,43,54.593878
Q1-2019,25,female,0,164,160.77771
Q1-2019,25,female,1,39,35.404245
Q1-2019,30,male,0,120,172.461415
Q1-2019,30,male,1,43,54.022771
Q1-2019,30,female,0,196,196.764372
Q1-2019,30,female,1,42,40.356396
Q1-2019,35,male,0,135,173.338375
Q1-2019,35,male,1,31,38.354542
Q1-2019,35,female,0,191,189.745263
Q1-2019,35,female,1,40,34.813461
Q1-2019,40,male,0,120,151.806338
Q1-2019,40,male,1,33,40.211182
Q1-2019,40,female,0,151,153.153931
Q1-2019,40,female,1,32,27.961847
Q1-2019,45,male,0,137,175.542388
Q1-2019,45,male,1,38,45.247757
Q1-2019,45,female,0,141,189.045502
Q1-2019,45,female,1,34,40.885171
Q1-2019,50,male,0,144,180.292036
Q1-2019,50,male,1,27,31.385515
Q1-2019,50,female,0,134,178.798248
Q1-2019,50,female,1,26,32.196121
Q1-2019,55,male,0,182,176.396469
Q1-2019,55,male,1,26,22.87145
Q1-2019,55,female,0,131,137.592363
Q1-2019,55,female,1,31,27.215124
Q1-2019,60,male,0,172,146.932392
Q1-2019,60,male,1,28,21.47517
Q1-2019,60,female,0,177,180.679517
Q1-2019,60,female,1,28,28.772746
Q1-2019,65,male,0,671,486.124515
Q1-2019,65,male,1,54,39.036382
Q1-2019,65,female,0,596,582.592515
Q1-2019,65,female,1,46,41.235552
Q2-2019,18,male,0,69,65.117654
Q2-2019,18,male,1,17,14.914561
Q2-2019,18,female,0,51,46.882225
Q2-2019,18,female,1,14,14.500188
Q2-2019,20,male,0,210,174.691748
Q2-2019,20,male,1,76,60.863414
Q2-2019,20,female,0,223,201.481608
Q2-2019,20,female,1,38,35.653054
Q2-2019,25,male,0,134,172.206647
Q2-2019,25,male,1,34,42.817629
Q2-2019,25,female,0,124,138.312058
Q2-2019,25,female,1,47,57.47583
Q2-2019,30,male,0,114,161.602513
Q2-2019,30,male,1,36,48.428064
Q2-2019,30,female,0,162,180.706736
Q2-2019,30,female,1,43,46.466141
Q2-2019,35,male,0,130,165.451975
Q2-2019,35,male,1,37,40.294541
Q2-2019,35,female,0,176,178.989391
Q2-2019,35,female,1,31,36.14412
Q2-2019,40,male,0,114,155.093078
Q2-2019,40,male,1,29,33.968199
Q2-2019,40,female,0,150,163.129028
Q2-2019,40,female,1,18,16.665888
Q2-2019,45,male,0,123,149.500628
Q2-2019,45,male,1,37,39.553971
Q2-2019,45,female,0,160,192.726145
Q2-2019,45,female,1,26,30.538409
Q2-2019,50,male,0,160,199.06749
Q2-2019,50,male,1,30,32.064397
Q2-2019,50,female,0,132,166.55132
Q2-2019,50,female,1,31,39.542742
Q2-2019,55,male,0,169,165.156471
Q2-2019,55,male,1,31,27.398218
Q2-2019,55,female,0,153,158.753434
Q2-2019,55,female,1,23,21.393501
Q2-2019,60,male,0,159,141.510568
Q2-2019,60,male,1,33,24.334683
Q2-2019,60,female,0,169,155.134827
Q2-2019,60,female,1,32,27.166391
Q2-2019,65,male,0,688,474.686049000001
Q2-2019,65,male,1,56,38.032134
Q2-2019,65,female,0,579,545.964061
Q2-2019,65,female,1,62,57.501279
Q3-2019,18,male,0,87,78.967127
Q3-2019,18,male,1,11,10.624206
Q3-2019,18,female,0,59,68.862096
Q3-2019,18,female,1,9,10.272831
Q3-2019,20,male,0,195,185.032139
Q3-2019,20,male,1,50,53.508119
Q3-2019,20,female,0,160,180.588668
Q3-2019,20,female,1,38,40.830572
Q3-2019,25,male,0,124,149.691211
Q3-2019,25,male,1,35,47.439662
Q3-2019,25,female,0,151,159.088196
Q3-2019,25,female,1,46,49.038907
Q3-2019,30,male,0,144,191.821939
Q3-2019,30,male,1,38,52.584956
Q3-2019,30,female,0,163,172.229721
Q3-2019,30,female,1,46,52.387089
Q3-2019,35,male,0,141,170.789164
Q3-2019,35,male,1,39,44.426645
Q3-2019,35,female,0,197,188.064466
Q3-2019,35,female,1,29,29.157366
Q3-2019,40,male,0,133,155.959349
Q3-2019,40,male,1,30,32.320895
Q3-2019,40,female,0,171,158.771608
Q3-2019,40,female,1,28,25.308507
Q3-2019,45,male,0,146,163.932004
Q3-2019,45,male,1,43,47.343144
Q3-2019,45,female,0,148,184.643475
Q3-2019,45,female,1,16,19.913039
Q3-2019,50,male,0,150,177.907337
Q3-2019,50,male,1,36,38.204477
Q3-2019,50,female,0,163,205.085694
Q3-2019,50,female,1,30,34.240307
Q3-2019,55,male,0,170,157.836876
Q3-2019,55,male,1,37,28.714539
Q3-2019,55,female,0,163,163.090092
Q3-2019,55,female,1,36,37.014031
Q3-2019,60,male,0,182,158.982399
Q3-2019,60,male,1,32,23.501586
Q3-2019,60,female,0,152,147.796608
Q3-2019,60,female,1,27,27.678865
Q3-2019,65,male,0,637,476.121183
Q3-2019,65,male,1,76,50.47991
Q3-2019,65,female,0,648,576.886127
